,thought,original_label,cleaned_thought
671,"I'm facing an issue, that I love you girlfriend and she loves me back. But I hurt her because I'm manipulative, without really realizing what I'm doing. I make her feel guilty of things that she shouldn't feel so, and if I don't get things my way, I manipulate it so it sounds like it's her fault or she is wrong. I don't do it voluntarily, but I do it too often and it hurts her and me. I am manipulative ", Labeling,im facing issue love girlfriend love back hurt im manipulative without really realizing im make feel guilty thing shouldnt feel dont get thing way manipulate sound like fault wrong dont voluntarily often hurt manipulative
672,"Every time I think I have another chance at love, I am reminded how insufferable and unlovable I make myself. I am a hard person to love ", Labeling,every time think another chance love reminded insufferable unlovable make hard person love
673,I love two people at the same time That I'm going to fail , Fortune telling,love two people time im going fail
674,I've been applying for jobs and just got a call that someone else filled a position I applied for. I might never get hired. , Catastrophizing,ive applying job got call someone else filled position applied might never get hired
675,My inabilities cost me my job. I would not find a job , Catastrophizing,inability cost job would find job
676,Fired for not meeting quota as a salesman. I can't pay my bills. , Negative feeling or emotion,fired meeting quota salesman cant pay bill
677,I had an opportunity to get a large bonus at work but I did not do well on task so no bonus I could have done so much better , Personalizing,opportunity get large bonus work well task bonus could done much better
678,I wave to an acquaintance and get no response. I don't make a memorable impression on people. , Labeling,wave acquaintance get response dont make memorable impression people
679,I want to shoot myself I have lost all hope , Negative feeling or emotion,want shoot lost hope
680,My guitar teacher told me I needed to correct my posture I've been practicing but I'm not making any progress , All-or-nothing thinking,guitar teacher told needed correct posture ive practicing im making progress
681,I got very upset last week when I realized that I had forgotten to fill out a required form and the date that the form was due had already passed. they should have reminded me before I forgot , Should statements,got upset last week realized forgotten fill required form date form due already passed reminded forgot
682,"I found a job I thought was perfect for me in the field I used to work in and love very much. A few days after putting in a resume and lining up several references, I found out the job was filled and I didn't even get so much as an acknowledgment of my application much less an interview when I was extremely qualified. why can't I ever get anything I want ", All-or-nothing thinking,found job thought perfect field used work love much day putting resume lining several reference found job filled didnt even get much acknowledgment application much le interview extremely qualified cant ever get anything want
683,I recently discovered a music artist that I very much enjoy. When I showed it to a close friend they had a very negative reaction and asked me how I could enjoy this type of music. I ended up getting quite angry with them and told them they had bad taste in music. I felt that my personal self was under attack - and I needed to retaliate by denying their attack. , Personalizing,recently discovered music artist much enjoy showed close friend negative reaction asked could enjoy type music ended getting quite angry told bad taste music felt personal self attack needed retaliate denying attack
684,Recent panic attack I'm not going to live up to my expectations for my future , Catastrophizing,recent panic attack im going live expectation future
685,I hurt my family members by telling them to postpone their long-planned trip to visit me because I was too busy I am selfish , Labeling,hurt family member telling postpone longplanned trip visit busy selfish
686,"When I told my friend about my job, he said it has little real-world significance My job is worthless ", Overgeneralizing,told friend job said little realworld significance job worthless
687,"it's so hard to do school work, get out of bed, care for myself, and eat I'm so exhausted ", Negative feeling or emotion,hard school work get bed care eat im exhausted
688,Our forest inventory data is due in less than three days and I still have over 100 plots to do.  The date cannot be missed and my superiors expect it completed. I have at least four normal days of plot work needing done in three days , Negative feeling or emotion,forest inventory data due le three day still plot date cannot missed superior expect completed least four normal day plot work needing done three day
689,My financial situation is going out of hand I'm worried about my future , Fortune telling,financial situation going hand im worried future
690,"I was given a solo for the church play.  At practice when it came time for me to sing, my voice cracked and I lost the solo. I can't sing. ", All-or-nothing thinking,given solo church play practice came time sing voice cracked lost solo cant sing
691,"I always do the wrong thing, I always make mistakes I hate myself ", Labeling,always wrong thing always make mistake hate
692,"I was walking in a poorly lit downtown area when a man approached me and asked for money. I told him I had none, and he started cussing me out and following me. I eventually started running and he finally stopped following. He is going to hurt me ", Fortune telling,walking poorly lit downtown area man approached asked money told none started cussing following eventually started running finally stopped following going hurt
693,"I left a toxic job that abused me for more than a decade. I thought I found a new job that was better, but realized they lied to me about the job and now I hate working here. I feel like I made a huge mistake. I can never get a break. Every time I try to make a positive change in my life, something happens to ruin it. ", Negative feeling or emotion,left toxic job abused decade thought found new job better realized lied job hate working feel like made huge mistake never get break every time try make positive change life something happens ruin
694,Last week I found out that my mother had experienced sudden back pain that lasted for a few days  and I somehow worked myself into a very concerned state where I kind of felt like she was going to become completely incapacitated and have to live in a nursing home. I'm afraid she's going to die soon. , Emotional reasoning,last week found mother experienced sudden back pain lasted day somehow worked concerned state kind felt like going become completely incapacitated live nursing home im afraid shes going die soon
695,I received a rejection email from a position I applied to. I will never get a job. , Fortune telling,received rejection email position applied never get job
696,"I called an old friend, but she wasn't home and didn't return my call. Maybe she doesn't want to talk to me anymore. ", Mind reading,called old friend wasnt home didnt return call maybe doesnt want talk anymore
697,I am single and isolated im unlovable , Negative feeling or emotion,single isolated im unlovable
698,"My boyfriend didn't reply back to me instantly. If I text my boyfriend too much, he will get bored of me. ", Mind reading,boyfriend didnt reply back instantly text boyfriend much get bored
699,I was looking forward to relaxing but my partner asked me to make dinner instead. My partner thinks I am lazy. , Mind reading,looking forward relaxing partner asked make dinner instead partner think lazy
700,"Someone criticized the way I dealt with a patient saying that I was too short tempered with them. I felt the criticism was unfair because they didn't take into account the entire situation, especially considering how the patient was behaving towards me. ", Personalizing,someone criticized way dealt patient saying short tempered felt criticism unfair didnt take account entire situation especially considering patient behaving towards
701,I failed to turn in my planned event calendar by the due date. I forgot something important. Again. My boss is going to kill me. , Catastrophizing,failed turn planned event calendar due date forgot something important bos going kill
702,"I had a huge fight with my friend and I love her so much and I called her fat and ugly and I didn't mean to, is there a condition for something like this I'm being mean to someone I love ", Labeling,huge fight friend love much called fat ugly didnt mean condition something like im mean someone love
703,Last week I made a special dinner at my house for my family to enjoy but I overcooked the food. after three decades since I first started learning how to cook I am still ruining meals. , Overgeneralizing,last week made special dinner house family enjoy overcooked food three decade since first started learning cook still ruining meal
704,I failed to do a work task appropriately in a side-gig. I won't get paid , Fortune telling,failed work task appropriately sidegig wont get paid
705,I mixed up the addresses on two packages and sent them to the wrong place I screwed up again at work , Negative feeling or emotion,mixed address two package sent wrong place screwed work
706,I made a mistake with an expensive reagent at work and ruined my experiment. I'm mad at myself for being careless , Emotional reasoning,made mistake expensive reagent work ruined experiment im mad careless
707,I couldn't finish the task in time I'm incompetent , Labeling,couldnt finish task time im incompetent
708,My friend asked for help and I denied I'm self-centered , Labeling,friend asked help denied im selfcentered
709,I try to talk to a stranger at a party and they seem disinterested and walk away from me I'm boring , Fortune telling,try talk stranger party seem disinterested walk away im boring
710,"I don't work. I rely heavily on my partner, I'm so easily scared I am a burden. ", Labeling,dont work rely heavily partner im easily scared burden
711,I am alone none understands Can not move have so much to do mind numb , Negative feeling or emotion,alone none understands move much mind numb
712,I had a breakup I am the cause of the breakup , Personalizing,breakup cause breakup
713,"My friend asked for advice, but I was unable to provide it I'm completely self-centered and thoughtless ", All-or-nothing thinking,friend asked advice unable provide im completely selfcentered thoughtless
714,"Last week my sister and I facetime. I didnt show much interest. Later that day, my cousin told me that my sister was sad because of my behavior. I made my sister sad ", Mind reading,last week sister facetime didnt show much interest later day cousin told sister sad behavior made sister sad
715,I am under appreciated at work Self worth , Comparing and Despairing,appreciated work self worth
716,I gained a little weight while trying to diet I'm not succeeding , All-or-nothing thinking,gained little weight trying diet im succeeding
717,"I lost my best friend. I'm a male and she was the nicest girl I've ever met. But I fucked it. I started to take her for granted, started to overthink, to take everything too seriously, I was jealous, selfish and though only of my own interests and not of hers feelings it's all my fault ", Personalizing,lost best friend im male nicest girl ive ever met fucked started take granted started overthink take everything seriously jealous selfish though interest feeling fault
718,I have been trying a number of diets. This week I weighed myself and found out I had gained a pound I am trying to lose weight but nothing works , Disqualifying the Positive,trying number diet week weighed found gained pound trying lose weight nothing work
719,I was not paying attention and scratched someone's car while driving I am will have to pay for this , Fortune telling,paying attention scratched someone car driving pay
720,"For many years I've been tutoring students online in math and reading. One of my newer students requested to my supervisor that she be assigned to a different tutor because she didn't like me. I was searching my brain to figure out why she didn't like me, and it made me so sad to think I'd hurt her feelings or caused a problem for her. ", Personalizing,many year ive tutoring student online math reading one newer student requested supervisor assigned different tutor didnt like searching brain figure didnt like made sad think id hurt feeling caused problem
721,I had dinner plans cancelled by my parents because I my mom was feeling under the weather. I never get to see her anymore. , Negative feeling or emotion,dinner plan cancelled parent mom feeling weather never get see anymore
722,It's so hard to study effectively and it takes all the time and energy I have. And then I still don't feel prepared. I'm so behind and i'm so afraid of the terrible grades I will recieve. I can't do anything right , Negative feeling or emotion,hard study effectively take time energy still dont feel prepared im behind im afraid terrible grade recieve cant anything right
723,I was called into a meeting with my boss where I was told that I wasn't meeting the standards at work. I am not doing well enough to warrant working at this job. , All-or-nothing thinking,called meeting bos told wasnt meeting standard work well enough warrant working job
724,"I have been trying to get a hold of a friend to help me with a project for over a week, but he won't return my calls or texts. He is avoiding me ", Mind reading,trying get hold friend help project week wont return call text avoiding
725,I got into a minor car crash. I messed up big time. , Catastrophizing,got minor car crash messed big time
726,I yelled at my child for being too fidgety during stories at bedtime. The kids will never settle down. , Fortune telling,yelled child fidgety story bedtime kid never settle
727,"I applied for a promotion but was told I haven't shown the necessary ambition yet. This happened at work where I always go the extra mile, stay late, and even work when I'm not being paid. I feel like the response to my request for a promotion was inaccurate and that I am being taken advantage of because nothing I could do is enough. I was denied the promotion by the department head who is a woman that seems to always talk down to and be rude to men at the company. I felt as if my talents and efforts were being unrecognized by the company yet they are perfectly happy to accept all of my hard work, just not pay me what I deserve for it. ", Disqualifying the Positive,applied promotion told havent shown necessary ambition yet happened work always go extra mile stay late even work im paid feel like response request promotion inaccurate taken advantage nothing could enough denied promotion department head woman seems always talk rude men company felt talent effort unrecognized company yet perfectly happy accept hard work pay deserve
728,I got upset at my boss for not putting me in a temporary promotion to act as supervisor of our team. I wasn't valued as much as the other person. , Personalizing,got upset bos putting temporary promotion act supervisor team wasnt valued much person
729,I was talking to a friend who got me angry. He's insulting me. , Mind reading,talking friend got angry he insulting
730,My daughter spilled a drink on my desk. She ruined my project , Blaming,daughter spilled drink desk ruined project
731,I missed the submission deadline My efforts are wasted , Disqualifying the Positive,missed submission deadline effort wasted
732,My friend has more followers on Twitter than me She is more successful than I am , Blaming,friend follower twitter successful
733,I did nothing with my day Don't feel like I deserve fun/enjoyment , All-or-nothing thinking,nothing day dont feel like deserve funenjoyment
734,i dont wanna continue with this life im ready to die , Emotional reasoning,dont wanna continue life im ready die
735,"My friend and I were looking at apartments. His first choice for apartments was one that was too small for my life goals, as I could not set up an office in it. He wanted the better room in the apartment. He only cares about himself. ", Disqualifying the Positive,friend looking apartment first choice apartment one small life goal could set office wanted better room apartment care
736,"While I was at work, my supervisor questioned my decision in a negative tone infront of my peers. She needs to stop discussing this. ", Negative feeling or emotion,work supervisor questioned decision negative tone infront peer need stop discussing
737,A friend of mine was pressuring me to see a movie I didn't want to see.  I tried to sheepishly get out of it but did not want to disappoint him so I just sort of agreed when I didn't want to do it.  So I ended up being miserable for two hours watching a movie I did not enjoy. I am miserable because I have such a hard time saying no. , Personalizing,friend mine pressuring see movie didnt want see tried sheepishly get want disappoint sort agreed didnt want ended miserable two hour watching movie enjoy miserable hard time saying
738,I got excessively angry at my friend for sending stupid pictures of me to a mutual friend. I felt betrayed and that was extreme Why did I overact like this , Catastrophizing,got excessively angry friend sending stupid picture mutual friend felt betrayed extreme overact like
739,I became very stressed out after getting a bad score on a quiz My grades are important and I did poorly , Disqualifying the Positive,became stressed getting bad score quiz grade important poorly
740,My sister in law won't speak to me My sister in law thinks I am worthless , Negative feeling or emotion,sister law wont speak sister law think worthless
741,First interview after studying and getting my diploma. I'll screw it over , Fortune telling,first interview studying getting diploma ill screw
742,"I received a subpar quiz score in a class. I should have studied harder, or more efficiently. ", Should statements,received subpar quiz score class studied harder efficiently
743,My sister asked my mother about me taking care of her cats instead of asking me directly. I don't matter. , Overgeneralizing,sister asked mother taking care cat instead asking directly dont matter
744,I just got fired from working as a sales person because I didn't reach my quota. I had never had a job like this before this. I'm a failure and can't keep a sales person job. , All-or-nothing thinking,got fired working sale person didnt reach quota never job like im failure cant keep sale person job
745,"My girlfriend was sad that I wanted to go out with my friends, and started a fight. Why can't I have fun? Why must I stay home all the time? ", Overgeneralizing,girlfriend sad wanted go friend started fight cant fun must stay home time
746,My daughter's illness worry about a disabled family member , Negative feeling or emotion,daughter illness worry disabled family member
747,I'm waiting everyday for the weekend and the holidays. I'm not getting anything productive done. I can't bring myself to be motivated. , Negative feeling or emotion,im waiting everyday weekend holiday im getting anything productive done cant bring motivated
748,everyone ignores. not their fault I know. Honestly my best friends have been treating me like dirt and idk what to do. I feel so pointless taken all my mental and emotional energy to even send this. No one cares about me , All-or-nothing thinking,everyone ignores fault know honestly best friend treating like dirt idk feel pointless taken mental emotional energy even send one care
749,My girlfriend was ignoring me for a while. She didn't like me anymore. , Mind reading,girlfriend ignoring didnt like anymore
750,I went on a trip and heard a commercial for a kitchen appliance I feel so anxious maybe I left something turned on in the kitchen , Should statements,went trip heard commercial kitchen appliance feel anxious maybe left something turned kitchen
751,My wife accused me of cheating. She doesn't trust me. , Mind reading,wife accused cheating doesnt trust
752,"I finished second in the writing contest Being second means nothing, anyone could have achieved that ", Disqualifying the Positive,finished second writing contest second mean nothing anyone could achieved
753,I've been sitting at my desk for a long time and I haven't been able to get anything done. Other people are probably doing it better than me. , Comparing and Despairing,ive sitting desk long time havent able get anything done people probably better
754,I'm feeling suicidal I can't stop cutting myself , Negative feeling or emotion,im feeling suicidal cant stop cutting
755,Having problems coming up with words to write essay. I will get a bad grade. , Fortune telling,problem coming word write essay get bad grade
756,I was on a coffee break and my boss reminded me of work that needs to get done. I could get fired. , Catastrophizing,coffee break bos reminded work need get done could get fired
757,My boss interrupted my break to tell me to work I feel guilty , Emotional reasoning,bos interrupted break tell work feel guilty
758,"My teenage child wanted to go out with friends and I said no I feel horrible about it, I must be a bad parent ", Emotional reasoning,teenage child wanted go friend said feel horrible must bad parent
759,"I tried on my wedding dress in front of my family. My mother was excited and told me I was beautiful, but other members of my family made comments about my weight. I was told to not eat and exercise so I could be beautiful. I'm a fat ugly troll. ", Labeling,tried wedding dress front family mother excited told beautiful member family made comment weight told eat exercise could beautiful im fat ugly troll
760,My partner left me. I did something wrong , Personalizing,partner left something wrong
761,The host of a party is giving me one-word responses when I try to talk to them I feel like an outcast , Emotional reasoning,host party giving oneword response try talk feel like outcast
762,"My love is leaving, and there's no turning back. What if I never see her again? ", Catastrophizing,love leaving there turning back never see
763,I lost my house I want to die , Negative feeling or emotion,lost house want die
764,I got a bad grade in one of the three assignments How could I have done so badly , Disqualifying the Positive,got bad grade one three assignment could done badly
765,"I have anxiety, depression, disordered eating, and when I asked if I have ptsd my therapist said I have (whatever). The longest job I had was five months, and majority of my jobs have been part time seasonal work. about as long as worked anywhere else too. I get bored, and my mental illnesses make it hard too. I’ll never be able to hold a job. ", Fortune telling,anxiety depression disordered eating asked ptsd therapist said whatever longest job five month majority job part time seasonal work long worked anywhere else get bored mental illness make hard ill never able hold job
766,My friends invited me to go bowling this Saturday I bet all my friends will be amazing at bowling apart from me , Mind reading,friend invited go bowling saturday bet friend amazing bowling apart
767,Everyone in my life has left me Someone please kill me , Negative feeling or emotion,everyone life left someone please kill
768,Everyone is mean to me I hate everyone , Negative feeling or emotion,everyone mean hate everyone
769,I went on a trip and heard a commercial for a kitchen appliance Did I leave the kitchen stove on? My entire house will burn down , Catastrophizing,went trip heard commercial kitchen appliance leave kitchen stove entire house burn
770,I forgot to give my boss an important message when I was at work. The customer who left the message ended up being very angry because they had a problem that needed to be resolved My boss was pretty upset with me and the customer may take his business elsewhere I feel like a failure , Labeling,forgot give bos important message work customer left message ended angry problem needed resolved bos pretty upset customer may take business elsewhere feel like failure
771,My next door neighbors filed a complaint against us last week blaming our dogs for excessive barking They are so wrong and I'm so pissed but I know I can't prove it and they will probably win because they won't ever admit it and I have to do something right NOW! or I might lose my dogs. , Overgeneralizing,next door neighbor filed complaint u last week blaming dog excessive barking wrong im pissed know cant prove probably win wont ever admit something right might lose dog
772,"I am at a party where I do not know very many people. When I try to talk to a stranger, he gives one word replies and then ignores me. . I am being annoying. ", Mind reading,party know many people try talk stranger give one word reply ignores annoying
773,At work I was frustrated after a meeting because I was told a certain amount of documents had to be indexed that week. I had a lot of other tasks and I started frantically naming them off. I was not expected to be indexing the full collection of documents like I thought I was so I was later embarassed I had acted so frustrated and snappy. I thought I was being taken advantage of. , Mind reading,work frustrated meeting told certain amount document indexed week lot task started frantically naming expected indexing full collection document like thought later embarassed acted frustrated snappy thought taken advantage
774,I ask out a co-worker who I became fond of recently but was turned down. I won't find someone I can be with , Fortune telling,ask coworker became fond recently turned wont find someone
775,I invited a co-worker out and they turned me down They will never want to go out with me , Catastrophizing,invited coworker turned never want go
776,I was in my grandma's house and I knocked the vase on the floor My grandma will never talk to me again , Catastrophizing,grandma house knocked vase floor grandma never talk
777,My wife was supposed to be home by now and she's not and it's raining really bad Did she get in a car crash? , Comparing and Despairing,wife supposed home shes raining really bad get car crash
778,"I cant work out what my real personality is because my opinions and moods change all the time and Its like I change into different personalities kind of but its not different conciousmesses its just i dont know how to explain it but I think im insane because I dont know much about who I am because who I am changes and it can change very fast, is this normal? i have no stable identity and I dont know why or if its normal ", Overgeneralizing,cant work real personality opinion mood change time like change different personality kind different conciousmesses dont know explain think im insane dont know much change change fast normal stable identity dont know normal
779,"Meeting an old friend, that I hadn't seen in two decades for lunch. what if i have nothing to say, what if we don't click anymore, what if this goes badly. ", Fortune telling,meeting old friend hadnt seen two decade lunch nothing say dont click anymore go badly
780,"Recently I found out that one of my coworkers with who I work closely, organized a party and I wasn't invited to the party. I felt left out and singled out in the office and wondered if the person had a personal grudge against me. ", Personalizing,recently found one coworkers work closely organized party wasnt invited party felt left singled office wondered person personal grudge
781,My boss yelled at me I'm feeling sad , Negative feeling or emotion,bos yelled im feeling sad
782,My boyfriend went to visit his son and wound up spending the entire day with his son and his son's mother while ignoring my phone calls. I thought he was cheating on me , Mind reading,boyfriend went visit son wound spending entire day son son mother ignoring phone call thought cheating
783,My husband asked me to make sure I cleaned the cutting board better. I do so much around here and you are harping about the cutting board? , Blaming,husband asked make sure cleaned cutting board better much around harping cutting board
784,We had bad storms in our community and some tornadoes came through and destroyed some of the area. No one in our extended family from out of town checked on me. I feel unloved and unwanted by my mother and siblings , Emotional reasoning,bad storm community tornado came destroyed area one extended family town checked feel unloved unwanted mother sibling
785,We are not making enough progress on our group project This project is a failure because of John , Blaming,making enough progress group project project failure john
786,My boyfriend and I were supposed to go out last night and I got very aggravated at the change of plans and that he pushed back the time. he didn't respect our initial commitment , Negative feeling or emotion,boyfriend supposed go last night got aggravated change plan pushed back time didnt respect initial commitment
787,I was with friends and misinterpreted a comment and was upset for the wrong reasons. Turns out I misheard what was said and made a big deal out of nothing. Why are my friends treating me so harshly? , Negative feeling or emotion,friend misinterpreted comment upset wrong reason turn misheard said made big deal nothing friend treating harshly
788,I was planning a bachelor party for a friend and some of the people invited were not satisfied with what I was trying to plan. Why can't they cooperate on this? , Personalizing,planning bachelor party friend people invited satisfied trying plan cant cooperate
789,I tried to make friends with people but they kept ignoring me. I am not interesting , Negative feeling or emotion,tried make friend people kept ignoring interesting
790,I've been sitting at my desk for a long time and I haven't been able to get anything done. I will lose my job eventually. , Catastrophizing,ive sitting desk long time havent able get anything done lose job eventually
791,In class I feel like others hear my thoughts and judge me. When some things really don't work(for example I have some things for school for tommorow and I can't find how to do that thing after searching hours on internet I get angry and sometimes results to self harm(punching). I sometimes feel like everybody is here just to watch me and see how I react to things(sounds insane). Am I insane? , Labeling,class feel like others hear thought judge thing really dont workfor example thing school tommorow cant find thing searching hour internet get angry sometimes result self harmpunching sometimes feel like everybody watch see react thingssounds insane insane
792,My boyfriend made fun of me for losing a game. I got upset and we had an argument. I'm really bad at everything I do. , All-or-nothing thinking,boyfriend made fun losing game got upset argument im really bad everything
793,My boss pointed out an unintentional error in my work. I am incapable of doing anything right. , All-or-nothing thinking,bos pointed unintentional error work incapable anything right
794,"When doing some piecework online, I was told that my work was not good. I worked hard on these jobs, and was sure I had done well. ", Overgeneralizing,piecework online told work good worked hard job sure done well
795,They are racist I hate Republicans , Negative feeling or emotion,racist hate republican
796,Go fuck yourself Fuck you , Negative feeling or emotion,go fuck fuck
797,Once I was unemployed because I had many faults at work Having done things wrong , Personalizing,unemployed many fault work done thing wrong
798,I worried about being late and I almost crashed the car I worry too much , Negative feeling or emotion,worried late almost crashed car worry much
799,That's what my mom tells me growing up I'm worthless , Overgeneralizing,thats mom tell growing im worthless
800,I invited a co-worker out and they turn me down They will never want to go out with me , Labeling,invited coworker turn never want go
801,My crush doesn't like me back Never finding love , Overgeneralizing,crush doesnt like back never finding love
802,"I asked my daughter a question, and she responded in a snotty way. She doesn't love me like she used to. ", Personalizing,asked daughter question responded snotty way doesnt love like used
803,"Recent rape, prior trauma, isolation, boredom, loneliness, feeling abandoned and so alone I can't get through this ", Negative feeling or emotion,recent rape prior trauma isolation boredom loneliness feeling abandoned alone cant get
804,Becoming broke again. I can't and never will escape this prison at my moms house , Negative feeling or emotion,becoming broke cant never escape prison mom house
805,I don't know why I am writing the essay Nobody cares what I have to say , Overgeneralizing,dont know writing essay nobody care say
806,"I showed a new game idea I have to some friends I have in a chat room we all have together, but only 2 of them responded. My friends aren't interested in my game idea ", Mind reading,showed new game idea friend chat room together responded friend arent interested game idea
807,I put in a lot of time on an Mturk task and was rejected on an attention request. I suggested a better way of handling these errors (automatic ejection) to the researcher and their answer showed they didn't understand my point. I didn't explain this right. , Personalizing,put lot time mturk task rejected attention request suggested better way handling error automatic ejection researcher answer showed didnt understand point didnt explain right
808,"While in a group voice chat, everyone left me without saying goodbye. Does nobody want to talk to me? ", Mind reading,group voice chat everyone left without saying goodbye nobody want talk
809,My sister put pictures of everyone but me on her holiday card No one cares about me , Overgeneralizing,sister put picture everyone holiday card one care
810,i and my brother were working in the same office were i am his senior and when he does careless mistakes my boss warned me as i am his senior who is responsible for his work my brother is very careless as he has the feeling that there is no one to ask him as his sister is the one who is senior , Overgeneralizing,brother working office senior careless mistake bos warned senior responsible work brother careless feeling one ask sister one senior
811,"I was greatly irritated, almost angry,  when a close friend reached out to me for assistance on taxes.  I usually do them, but I did not want to be bothered this year and felt almost used. I feel my friend used me. ", Personalizing,greatly irritated almost angry close friend reached assistance tax usually want bothered year felt almost used feel friend used
812,A friend who is a recent widower has started dating. My friend is ignoring his recently-deceased wife. , Mind reading,friend recent widower started dating friend ignoring recentlydeceased wife
813,I called my friend three times this past week but she hasn't answered or called/messaged me back yet. Maybe she doesn't really like me as much as I thought and like her. Maybe I'm awkward. , Mind reading,called friend three time past week hasnt answered calledmessaged back yet maybe doesnt really like much thought like maybe im awkward
814,I completely overreacted to my teenage son's grades. Why isn't this kid applying himself? , Overgeneralizing,completely overreacted teenage son grade isnt kid applying
815,I was given a wrong dosage of medication by my Doctor.  I couldn't figure out why I felt so bad until I went back to see him. Medication can be dangerous. , All-or-nothing thinking,given wrong dosage medication doctor couldnt figure felt bad went back see medication dangerous
816,Rejected from my dream company I never get what I want , Overgeneralizing,rejected dream company never get want
817,My boss on the construction site was very mean and aggressive with me. I must not have been doing a good job , Personalizing,bos construction site mean aggressive must good job
818,Your car broke down on the way to work and you are getting late I will lose my job over this! , Catastrophizing,car broke way work getting late lose job
819,I was at work and sent info for an ad to our local newspaper. They called me later and said my boss had over-ridden everything and sent them new info. He shouldn't assign me a task if he doesn't trust my work. , Should statements,work sent info ad local newspaper called later said bos overridden everything sent new info shouldnt assign task doesnt trust work
820,My daughter lied to me about a photo on her phone because she was embarrassed she doesnt want to share things with me , Personalizing,daughter lied photo phone embarrassed doesnt want share thing
821,My Dentist told me I'd need a root canal procedure. I'm going to have to endure some physical and financial pain. , Fortune telling,dentist told id need root canal procedure im going endure physical financial pain
822,"I was passed over for a small promotion at my place of work. The person who got the promotion was younger and less experienced than me, but a favorite of the boss. I was angry because I was the better person for the job. ", Personalizing,passed small promotion place work person got promotion younger le experienced favorite bos angry better person job
823,My uncle was in a serious accident and ignorant members of my family did not contact me and let me know. The anger I felt because some members of the family do not like me so they refused to let me know about my beloved uncle. , Mind reading,uncle serious accident ignorant member family contact let know anger felt member family like refused let know beloved uncle
824,"I am quite fond of a coworker and decide to talk to them. I offer up the idea that it might be fun to go out together sometime, and they respond with the fact they are too busy. I'm not attractive or have a good enough personality. ", Labeling,quite fond coworker decide talk offer idea might fun go together sometime respond fact busy im attractive good enough personality
825,"one of my friend posted a video of a spider getting inside a car, and she so happened to have had her car broken into. So i asked her if the police found whoever broke into her car, and she totally ignored me maybe she doesn't like me anymore. ", Mind reading,one friend posted video spider getting inside car happened car broken asked police found whoever broke car totally ignored maybe doesnt like anymore
826,"I had tentative plans to get together with friends last week, but they never got back to me. they don't really like me ", Mind reading,tentative plan get together friend last week never got back dont really like
827,My husband and his friends are always speaking Spanish in front of me and I cannot understand anything they are saying things in front of me that they don't want me to know or understand , Negative feeling or emotion,husband friend always speaking spanish front cannot understand anything saying thing front dont want know understand
828,"I asked my husband to get me wine on the way home from work, but he forgot. He is selfish ", Labeling,asked husband get wine way home work forgot selfish
829,"My husband wants a divorce, I've self isolated for years, my brother died Worthlessness, abandonment, grief ", Negative feeling or emotion,husband want divorce ive self isolated year brother died worthlessness abandonment grief
830,I was at my Moms house today and we were talking about my job. She was shocked that I had been there for more than a decade. She felt that it wasn't a good enough job. We were talking in the living room. She gasped as if that was insane. My job is worthless , Catastrophizing,mom house today talking job shocked decade felt wasnt good enough job talking living room gasped insane job worthless
831,"At dinner my mother in law kept trying to tell me how to watch my daughter and was being condensending, I finally got angry and told her to mind her own business. My mother in law thinks I am an incompetent father. ", Mind reading,dinner mother law kept trying tell watch daughter condensending finally got angry told mind business mother law think incompetent father
832,"my neighbors downstairs were having a party, and would not be quiet so i had to call the police and not get any sleep before work I am being disrespected ", Labeling,neighbor downstairs party would quiet call police get sleep work disrespected
833,I was driving home with my mother and we were talking about something. I said something stupid that didn't make sense and she called me out on it. My opinions aren't valuable. , Disqualifying the Positive,driving home mother talking something said something stupid didnt make sense called opinion arent valuable
834,My partner broke up with me and slept with someone else No one cares about me , Overgeneralizing,partner broke slept someone else one care
835,My girlfriend was distracted by other men at the gym. I'm not attractive enough. , Mind reading,girlfriend distracted men gym im attractive enough
836,"My partner was visiting her daughter, who was having surgery.  I got annoyed with her on the phone because she was being distracted. I wanted her to pay attention and not interrupt me. ", Personalizing,partner visiting daughter surgery got annoyed phone distracted wanted pay attention interrupt
837,I got in a fight with my roommate over the bathroom He's so damn inconsiderate , Labeling,got fight roommate bathroom he damn inconsiderate
838,"A Roomate of mine stole my comptuer Someone I trusted stole something valuable of mine, I was extremely angry and wanted justice ", Emotional reasoning,roomate mine stole comptuer someone trusted stole something valuable mine extremely angry wanted justice
839,My sister tried to commit suicide whilst at middle school I was not a good enough sister , Labeling,sister tried commit suicide whilst middle school good enough sister
840,I came home to find an ambulance and firetruck in front of my house.  I feared something had happened to my old mom.  I ran in the house to find everything was fine and that the ambulance was for our neighbor.  I screamed at my sister for not texting me to tell me that the ambulance was not for my mom when she knew I was coming home at that time.  She told me it had just arrived and there was no time to let me know but I was still irrationally angry at her.  And instead of being happy that my mom was ok I was instead angry at my sister. my sister was thoughtless to not call me , Negative feeling or emotion,came home find ambulance firetruck front house feared something happened old mom ran house find everything fine ambulance neighbor screamed sister texting tell ambulance mom knew coming home time told arrived time let know still irrationally angry instead happy mom ok instead angry sister sister thoughtless call
841,I got a parking ticket because my sister forgot to register for overnight parking in front of my house. I am responsible for her mistakes. , Blaming,got parking ticket sister forgot register overnight parking front house responsible mistake
842,My spouse got a new gaming console and spends most of his free time playing video games. I am not good enough for him. , Labeling,spouse got new gaming console spends free time playing video game good enough
843,I did badly in a writing contest I entered. I did not final. I am a bad writer. , All-or-nothing thinking,badly writing contest entered final bad writer
